date,source,No Partisan Affiliation,Republican,Democrat
3/25/19,PEW,22,21,14
12/4/17,PEW,15,22,15
4/11/17,PEW,12,28,15
10/4/15,PEW,16,11,26
7/20/14,CNN,8,11,17
2/26/14,PEW,19,16,32
11/15/13,CBS/NYT,12,8,31
10/13/13,PEW,17,10,27
5/31/13,CBS/NYT,20,8,30
2/6/13,CBS/NYT,15,8,34
1/13/13,PEW,15,15,37
10/31/12,NES,15,16,29
10/19/11,CBS/NYT,10,8,13
10/4/11,PEW,17,12,27
9/23/11,CNN,6,11,20
8/21/11,PEW,12,13,25
3/1/11,PEW,27,24,34
10/21/10,CBS/NYT,18,7,36
10/1/10,CBS/NYT,15,13,27
9/6/10,PEW,15,13,35
9/1/10,CNN,13,18,31
4/5/10,CBS/NYT,18,14,27
3/21/10,PEW,18,13,32
2/12/10,CNN,19,18,34
2/5/10,CBS/NYT,17,9,31
1/10/10,GALLUP,11,16,23
12/20/09,CNN,15,16,25
8/31/09,CBS/NYT,22,12,34
6/12/09,CBS/NYT,12,10,35
12/21/08,CNN,19,22,30
10/15/08,NES,28,31,34
10/13/08,CBS/NYT,28,19,12
7/9/07,CBS/NYT,22,31,18
1/9/07,PEW,32,43,22
10/8/06,CBS/NYT,19,50,20
9/15/06,CBS/NYT,21,44,20
2/5/06,PEW,26,53,20
1/20/06,CBS/NYT,25,51,23
1/6/06,GALLUP,15,44,20
12/2/05,CBS/NYT,29,52,19
9/11/05,PEW,20,49,19
9/9/05,CBS/NYT,28,42,21
6/19/05,GALLUP,24,36,24
10/15/04,NES,42,37,62
3/21/04,PEW,31,55,24
10/26/03,GALLUP,22,42,35
7/27/03,CBS/NYT,29,51,25
10/15/02,NES,52,63,52
9/4/02,GALLUP,46,55,38
9/2/02,CBS/NYT,32,52,32
7/13/02,CBS/NYT,28,45,34
6/17/02,GALLUP,40,55,33
1/24/02,CBS/NYT,37,56,39
12/7/01,CBS/NYT,45,60,39
10/25/01,CBS/NYT,50,70,47
10/6/01,GALLUP,53,68,52
1/17/01,CBS/NYT,27,38,26
10/15/00,NES,41,43,48
7/9/00,GALLUP,40,41,42
4/2/00,ABC/POST,23,24,38
2/14/00,PEW,32,37,46
10/3/99,CBS/NYT,33,27,31
9/14/99,CBS/NYT,32,35,42
5/16/99,PEW,21,30,36
2/21/99,PEW,28,25,35
2/12/99,ABC/POST,29,21,41
2/4/99,GALLUP,28,29,38
1/10/99,CBS/NYT,22,33,42
1/3/99,CBS/NYT,28,29,37
12/1/98,NES,39,35,45
11/19/98,PEW,20,23,31
11/1/98,CBS/NYT,18,22,28
10/26/98,CBS/NYT,19,25,28
8/10/98,ABC/POST,25,30,40
2/22/98,PEW,25,28,42
2/1/98,GALLUP,29,26,52
1/25/98,CBS/NYT,17,22,31
10/31/97,PEW,31,32,46
6/1/97,GALLUP,28,25,39
1/14/97,CBS/NYT,13,20,29
11/2/96,CBS/NYT,20,20,31
10/15/96,NES,30,27,40
5/12/96,GALLUP,22,20,32
5/6/96,ABC/POST,28,35,41
11/19/95,ABC/POST,16,26,27
8/7/95,GALLUP,15,21,24
8/5/95,CBS/NYT,17,20,20
3/19/95,ABC/POST,14,20,27
2/22/95,CBS/NYT,11,19,18
12/1/94,NES,20,18,26
10/29/94,CBS/NYT,12,19,26
10/23/94,ABC/POST,17,16,27
6/6/94,GALLUP,13,11,23
1/30/94,GALLUP,15,14,25
1/20/94,ABC/POST,22,18,30
3/24/93,GALLUP,14,11,32
1/17/93,ABC/POST,16,25,32
1/14/93,CBS/NYT,23,21,26
10/23/92,CBS/NYT,14,31,17
10/15/92,NES,24,34,31
6/8/92,GALLUP,13,31,17
10/20/91,ABC/POST,29,41,31
3/6/91,CBS/NYT,38,56,40
3/1/91,ABC/POST,29,52,41
12/1/90,NES,27,32,26
10/28/90,CBS/NYT,23,31,21
9/6/90,ABC/POST,37,48,37
1/16/90,ABC/POST,32,46,32
6/29/89,CBS/NYT,34,45,27
1/15/89,CBS/NYT,40,54,37
11/10/88,CBS/NYT,41,58,36
10/15/88,NES,38,51,35
1/23/88,ABC/POST,26,51,31
10/18/87,CBS/NYT,34,47,36
6/1/87,ABC/POST,46,59,38
3/1/87,CBS/NYT,40,54,34
1/21/87,CBS/NYT,45,51,36
1/19/87,ABC/POST,40,51,39
12/1/86,NES,36,53,31
11/30/86,CBS/NYT,54,63,37
9/9/86,ABC/POST,32,51,30
1/19/86,CBS/NYT,37,51,36
11/6/85,CBS/NYT,39,59,42
7/29/85,ABC/POST,33,48,30
3/21/85,ABC/POST,31,49,29
2/22/85,ABC/POST,21,62,30
11/14/84,CBS/NYT,43,59,36
10/15/84,NES,42,50,41
12/1/82,NES,28,41,32
11/7/80,CBS/NYT,37,42,40
10/15/80,NES,20,23,31
3/12/80,CBS/NYT,21,22,30
11/3/79,CBS/NYT,28,28,32
12/1/78,NES,27,26,33
10/23/77,CBS/NYT,30,25,40
4/25/77,CBS/NYT,32,34,37
10/15/76,NES,32,42,30
9/5/76,CBS/NYT,36,45,38
6/15/76,CBS/NYT,29,36,36
3/1/76,GALLUP,23,40,31
12/1/74,NES,36,38,36
10/15/72,NES,52,62,48
12/1/70,NES,51,61,52
10/15/68,NES,56,60,66
12/1/66,NES,65,54,71
10/15/64,NES,74,73,80
12/1/58,NES,71,79,71
